# Prova penetrometrica dinamica continua - file di esempio
# Sito: Bianco (RC) - localita Pardesca
# Lat: 38.104200
# Lon: 16.125600
# Quota: 248.0
# Passo: 0,20 m - profondita prova 16,00 m
# Colonne: profondita (m) ; numero colpi
Prof_m;N
0,20;3
0,40;4
0,60;3
0,80;5
1,00;4
1,20;3
1,40;4
1,60;5
1,80;4
2,00;3
2,20;9
2,40;11
2,60;10
2,80;12
3,00;13
3,20;11
3,40;14
3,60;12
3,80;13
4,00;11
4,20;12
4,40;14
4,60;13
4,80;12
5,00;11
5,20;5
5,40;4
5,60;6
5,80;5
6,00;4
6,20;5
6,40;6
6,60;5
6,80;4
7,00;5
7,20;6
7,40;5
7,60;4
7,80;5
8,00;6
8,20;19
8,40;22
8,60;21
8,80;24
9,00;23
9,20;25
9,40;22
9,60;24
9,80;26
10,00;23
10,20;25
10,40;24
10,60;22
10,80;25
11,00;23
11,20;35
11,40;38
11,60;40
11,80;37
12,00;42
12,20;39
12,40;44
12,60;41
12,80;43
13,00;40
13,20;45
13,40;42
13,60;44
13,80;41
14,00;43
14,20;60
14,40;65
14,60;70
14,80;68
15,00;72
15,20;75
15,40;78
15,60;80
15,80;85
16,00;90
